行政區,土地面積,建物總面積,屋齡,樓層,總樓層,用途,房數,廳數,衛數,電梯,車位類別,交易日期,經度,緯度,總價
西屯區,29.7,208.84,0.35866581799999997,4,14,住,3,2,2,1,坡道平面,2017/5/3,120.64205600000001,24.182064999999998,1588
中區,3.47,39.84,25.56383772,13,16,住,1,1,1,1,無,2019/5/27,120.67893899999999,24.145039,130
南區,18.08,131.85,19.08047393,10,12,住,2,2,2,1,坡道平面,2017/10/29,120.66346000000001,24.112320999999998,580
南區,10.6,121.14,21.13390419,4,14,住,3,2,2,1,坡道平面,2019/12/3,120.661309,24.109164,680
南屯區,8.8,119.52,21.54185233,8,20,住,3,2,2,1,坡道機械,2017/12/30,120.63658400000001,24.146895999999998,708
南區,28.93,214.97,1.478469784,3,14,商,3,2,2,1,坡道平面,2019/5/16,120.666946,24.127531,1380
南屯區,23.84,240.9,2.33269677,11,21,住,4,2,2,1,坡道平面,2019/4/16,120.647075,24.155469,2250
南區,19.31,169.16,0.7118558220000001,2,20,住,3,2,2,1,坡道平面,2017/7/19,120.651338,24.107638,1050
北屯區,22.13,131.56,26.43723006,6,6,住,3,2,2,1,升降平面,2017/12/24,120.668865,24.18455,550
北區,19.77,129.18,26.36056866,3,7,住,3,2,2,1,升降機械,2019/5/5,120.67371399999999,24.158947,655
西區,15.12,152.87,18.16601299,9,14,住,2,1,1,1,一樓平面,2018/12/21,120.653176,24.150642,200
北區,3.79,34.07,25.71716052,5,13,住,1,0,1,1,無,2019/8/30,120.684582,24.166829999999997,138
北屯區,13.12,76.65,23.30506444,6,9,住,2,2,1,1,無,2019/10/8,120.69703,24.174575,355
南區,18.08,119.33,20.20849162,12,12,住,3,2,2,1,坡道機械,2018/12/15,120.664574,24.11635,625
大里區,17.7,190.56,25.22981307,7,12,商,4,2,2,1,無,2019/7/14,120.685046,24.109967,650
西屯區,29.08,138.23,20.80535535,10,12,住,3,2,2,1,無,2017/4/5,120.611116,24.193269,560
大雅區,27.15,150.07,4.074005626,4,12,住,2,1,2,1,升降機械,2018/3/23,120.652143,24.21956,732
大里區,36.17,114.05,0.922674661,3,7,住,3,2,2,1,其他,2017/1/7,120.695051,24.090707000000002,560
北屯區,13.78,115.72,25.87869703,1,9,住,3,2,2,1,升降平面,2019/1/26,120.693721,24.177954999999997,520
北屯區,11.38,126.73,0.791255125,4,15,商,2,2,1,1,坡道平面,2019/6/30,120.68633799999999,24.204612,800
北區,27.3,167.75,28.95062869,3,7,住,3,2,2,1,坡道平面,2018/3/26,120.693679,24.161505,570
北區,21.87,76.34,38.71674299,1,7,住,4,0,4,1,無,2018/8/7,120.683971,24.157876,298
北區,16.63,56.35,37.82966112,3,5,住,2,2,1,0,無,2017/3/17,120.69638300000001,24.160748,290
南區,7.75,86.85,20.50144767,13,19,住,3,0,3,1,無,2017/10/28,120.674522,24.12927,360
西屯區,13.79,129.92,19.614365799999998,9,14,住,3,2,2,1,無,2019/1/5,120.642078,24.176532,655
西屯區,8.48,98.05,21.86218745,19,19,住,3,1,1,1,坡道平面,2016/12/1,120.605731,24.188848999999998,465
南屯區,16.19,181.88,8.966645448,14,15,住,3,2,2,1,坡道平面,2017/3/28,120.651702,24.13983,1300
南屯區,10.71,107.54,25.54193447,11,13,住,3,2,2,1,無,2018/8/30,120.647028,24.138041,660
西屯區,17.76,183.06,25.42146656,3,15,住,4,2,2,1,坡道平面,2019/12/13,120.605703,24.187635999999998,758
南區,15.34,169.35,11.2144671,4,14,商,4,2,2,1,坡道平面,2018/9/19,120.655429,24.129307999999998,1060
